# UserID: 2
# Title: My Solution
# Final Fitness: 1.000000
# DomainType: CIRCLE
# DomainParams: radius=3.0
# Date: 2026-01-15T17:27:44.708988500
VARIETY_ID;VARIETY_NAME;PLANT_TYPE;X;Y;RADIUS
1;sa nmarz;TOMATO;-1.1141;2.3182;1.0000
1;sa nmarz;TOMATO;1.1591;-2.3666;1.0000
1;sa nmarz;TOMATO;1.0885;2.7092;1.0000
1;sa nmarz;TOMATO;0.9374;0.0118;1.0000
1;sa nmarz;TOMATO;-2.8464;-0.9353;1.0000
1;sa nmarz;TOMATO;-1.2073;-2.3206;1.0000
1;sa nmarz;TOMATO;-1.0763;0.0270;1.0000
1;sa nmarz;TOMATO;-2.7885;1.0754;1.0000
1;sa nmarz;TOMATO;2.8012;-0.8328;1.0000
1;sa nmarz;TOMATO;2.5757;1.1917;1.0000
