# UserID: 2
# Title: a
# Final Fitness: 1.000000
# DomainType: CIRCLE
# DomainParams: radius=3.0
# Date: 2026-01-15T16:02:11.608767800
VARIETY_ID;VARIETY_NAME;PLANT_TYPE;X;Y;RADIUS
1;amemrican;WHEAT;1.3317;-1.8683;0.1000
1;amemrican;WHEAT;0.7676;-0.8282;0.1000
1;amemrican;WHEAT;2.5850;-1.2546;0.1000
1;amemrican;WHEAT;-1.9669;0.0553;0.1000
1;amemrican;WHEAT;1.4108;0.1024;0.1000
1;amemrican;WHEAT;2.5699;0.5612;0.1000
1;amemrican;WHEAT;0.7025;-1.5253;0.1000
1;amemrican;WHEAT;0.0944;-0.0002;0.1000
1;amemrican;WHEAT;-2.6470;0.8401;0.1000
1;amemrican;WHEAT;-2.1411;0.9861;0.1000
1;amemrican;WHEAT;0.0496;1.8969;0.1000
1;amemrican;WHEAT;-2.6167;0.3550;0.1000
1;amemrican;WHEAT;-2.7755;1.0870;0.1000
1;amemrican;WHEAT;-0.2406;2.3760;0.1000
1;amemrican;WHEAT;1.0038;2.2524;0.1000
1;amemrican;WHEAT;1.1703;2.6995;0.1000
1;amemrican;WHEAT;-2.2146;1.9470;0.1000
1;amemrican;WHEAT;0.6771;1.0401;0.1000
1;amemrican;WHEAT;0.3636;1.9327;0.1000
1;amemrican;WHEAT;1.4605;1.9130;0.1000
1;amemrican;WHEAT;0.8902;-0.4610;0.1000
1;amemrican;WHEAT;-0.5382;2.9374;0.1000
1;amemrican;WHEAT;0.1841;1.3625;0.1000
1;amemrican;WHEAT;-0.5879;-1.5453;0.1000
1;amemrican;WHEAT;-0.7148;0.0173;0.1000
1;amemrican;WHEAT;1.5259;-0.6811;0.1000
1;amemrican;WHEAT;2.2444;0.9449;0.1000
1;amemrican;WHEAT;1.8775;0.0387;0.1000
1;amemrican;WHEAT;0.4132;0.0086;0.1000
1;amemrican;WHEAT;-1.2262;-1.1681;0.1000
1;amemrican;WHEAT;0.4530;1.6013;0.1000
1;amemrican;WHEAT;0.3725;-1.5401;0.1000
1;amemrican;WHEAT;1.6268;-1.7291;0.1000
1;amemrican;WHEAT;0.3416;-0.5282;0.1000
1;amemrican;WHEAT;2.2821;-1.2252;0.1000
1;amemrican;WHEAT;-0.1983;1.2205;0.1000
1;amemrican;WHEAT;0.2958;-0.7709;0.1000
1;amemrican;WHEAT;-0.9579;-1.4850;0.1000
1;amemrican;WHEAT;-0.2178;2.8315;0.1000
1;amemrican;WHEAT;1.4951;0.5597;0.1000
1;amemrican;WHEAT;-0.9605;-2.3357;0.1000
1;amemrican;WHEAT;1.0809;1.8828;0.1000
1;amemrican;WHEAT;1.5309;-0.1795;0.1000
1;amemrican;WHEAT;2.0731;-1.2336;0.1000
1;amemrican;WHEAT;1.0870;1.2036;0.1000
1;amemrican;WHEAT;-0.0394;-2.8436;0.1000
1;amemrican;WHEAT;-0.2737;-2.1290;0.1000
1;amemrican;WHEAT;-2.5450;-0.5105;0.1000
1;amemrican;WHEAT;2.6486;0.0232;0.1000
1;amemrican;WHEAT;0.2996;2.4292;0.1000
1;amemrican;WHEAT;-0.6566;0.8002;0.1000
1;amemrican;WHEAT;-1.1022;1.3772;0.1000
1;amemrican;WHEAT;-1.8154;-0.2333;0.1000
1;amemrican;WHEAT;1.6937;0.9571;0.1000
1;amemrican;WHEAT;-1.4378;-1.1148;0.1000
1;amemrican;WHEAT;-0.4905;-1.8118;0.1000
1;amemrican;WHEAT;0.5780;-2.0781;0.1000
1;amemrican;WHEAT;-2.8302;0.0557;0.1000
1;amemrican;WHEAT;0.3261;1.1098;0.1000
1;amemrican;WHEAT;-1.7632;-1.2855;0.1000
1;amemrican;WHEAT;-0.4817;1.1663;0.1000
1;amemrican;WHEAT;1.5844;-0.4124;0.1000
1;amemrican;WHEAT;0.5315;-2.2737;0.1000
1;amemrican;WHEAT;-0.2924;-0.3594;0.1000
1;amemrican;WHEAT;1.6804;2.4834;0.1000
1;amemrican;WHEAT;0.2611;-2.0817;0.1000
1;amemrican;WHEAT;0.1588;-1.0938;0.1000
1;amemrican;WHEAT;1.6370;1.1920;0.1000
1;amemrican;WHEAT;-1.8911;-1.0684;0.1000
1;amemrican;WHEAT;0.2316;0.4008;0.1000
1;amemrican;WHEAT;-0.7709;-0.9139;0.1000
1;amemrican;WHEAT;-1.1057;-1.8288;0.1000
1;amemrican;WHEAT;1.2961;0.6156;0.1000
1;amemrican;WHEAT;1.9791;-0.4158;0.1000
1;amemrican;WHEAT;-1.1816;-2.6153;0.1000
1;amemrican;WHEAT;1.1492;0.0899;0.1000
1;amemrican;WHEAT;-1.7206;1.0630;0.1000
1;amemrican;WHEAT;1.7765;1.5198;0.1000
1;amemrican;WHEAT;1.6405;-1.9301;0.1000
1;amemrican;WHEAT;-0.6877;2.5387;0.1000
