# UserID: 2
# Title: taters
# Final Fitness: 1.000000
# DomainType: SQUARE
# DomainParams: side=6.0
# Date: 2026-01-13T14:53:19.763216800
VARIETY_ID;VARIETY_NAME;PLANT_TYPE;X;Y;RADIUS
1;sweet red;POTATO;-2.2224;-1.7948;0.2500
1;sweet red;POTATO;0.8661;2.9774;0.2500
1;sweet red;POTATO;-2.5242;-0.7574;0.2500
1;sweet red;POTATO;0.2248;3.0000;0.2500
1;sweet red;POTATO;2.5092;-1.3508;0.2500
1;sweet red;POTATO;-1.5337;2.2315;0.2500
1;sweet red;POTATO;3.0000;-0.7171;0.2500
1;sweet red;POTATO;-1.1691;-2.7124;0.2500
1;sweet red;POTATO;-0.1502;-1.2128;0.2500
1;sweet red;POTATO;0.1452;-2.3073;0.2500
1;sweet red;POTATO;2.1338;2.1026;0.2500
1;sweet red;POTATO;2.2150;3.0000;0.2500
1;sweet red;POTATO;-0.5039;2.0281;0.2500
1;sweet red;POTATO;-0.1612;-2.7468;0.2500
1;sweet red;POTATO;-1.6245;0.9060;0.2500
1;sweet red;POTATO;2.4685;-0.6419;0.2500
1;sweet red;POTATO;-2.7541;0.8506;0.2500
1;sweet red;POTATO;-0.7449;-3.0000;0.2500
1;sweet red;POTATO;0.1101;-0.2517;0.2500
1;sweet red;POTATO;-2.2898;1.1750;0.2500
1;sweet red;POTATO;-2.6967;2.9272;0.2500
1;sweet red;POTATO;0.9467;-0.4718;0.2500
1;sweet red;POTATO;-0.4216;1.2871;0.2500
1;sweet red;POTATO;3.0000;0.7927;0.2500
1;sweet red;POTATO;0.4981;-0.7722;0.2500
1;sweet red;POTATO;-0.8946;2.3682;0.2500
1;sweet red;POTATO;0.3110;0.6097;0.2500
1;sweet red;POTATO;-1.2086;-2.2000;0.2500
1;sweet red;POTATO;0.6083;-0.0120;0.2500
1;sweet red;POTATO;-1.1790;1.1621;0.2500
1;sweet red;POTATO;-2.8124;2.2416;0.2500
1;sweet red;POTATO;-2.3056;-0.2524;0.2500
1;sweet red;POTATO;0.4599;-1.3292;0.2500
1;sweet red;POTATO;1.8823;-3.0000;0.2500
1;sweet red;POTATO;-2.4351;-1.2906;0.2500
1;sweet red;POTATO;1.6082;0.4349;0.2500
1;sweet red;POTATO;-2.9226;-1.6791;0.2500
1;sweet red;POTATO;-2.6365;1.7684;0.2500
1;sweet red;POTATO;-3.0000;-2.5060;0.2500
1;sweet red;POTATO;3.0000;-2.7384;0.2500
1;sweet red;POTATO;-1.3892;-1.6558;0.2500
1;sweet red;POTATO;-2.0112;-0.8563;0.2500
1;sweet red;POTATO;-0.8846;-1.6208;0.2500
1;sweet red;POTATO;-1.7060;-2.0580;0.2500
1;sweet red;POTATO;2.9855;1.4228;0.2500
1;sweet red;POTATO;-1.8292;-2.7635;0.2500
1;sweet red;POTATO;-0.3372;2.6302;0.2500
1;sweet red;POTATO;1.2101;-3.0000;0.2500
1;sweet red;POTATO;2.9155;0.2773;0.2500
1;sweet red;POTATO;-1.2837;2.7074;0.2500
1;sweet red;POTATO;-1.4021;0.3047;0.2500
1;sweet red;POTATO;-2.9120;-0.1449;0.2500
1;sweet red;POTATO;-0.2519;-0.6358;0.2500
1;sweet red;POTATO;1.2595;2.4718;0.2500
1;sweet red;POTATO;0.1303;1.1913;0.2500
1;sweet red;POTATO;-0.8814;-1.0848;0.2500
1;sweet red;POTATO;-2.3513;-3.0000;0.2500
1;sweet red;POTATO;-2.5724;0.2903;0.2500
1;sweet red;POTATO;1.2902;1.2736;0.2500
1;sweet red;POTATO;0.6789;1.4648;0.2500
1;sweet red;POTATO;-0.7964;0.7187;0.2500
1;sweet red;POTATO;-1.2909;-0.3294;0.2500
1;sweet red;POTATO;0.5762;-3.0000;0.2500
1;sweet red;POTATO;-0.7642;2.9428;0.2500
1;sweet red;POTATO;2.5857;2.3547;0.2500
1;sweet red;POTATO;1.0099;0.3574;0.2500
1;sweet red;POTATO;1.2938;-1.2456;0.2500
1;sweet red;POTATO;2.8927;-2.1124;0.2500
1;sweet red;POTATO;-2.8899;-3.0000;0.2500
1;sweet red;POTATO;-0.1166;-1.8424;0.2500
1;sweet red;POTATO;-1.9991;0.2007;0.2500
1;sweet red;POTATO;-0.7042;-2.3603;0.2500
1;sweet red;POTATO;-1.8060;-0.3671;0.2500
1;sweet red;POTATO;-0.7403;-0.5001;0.2500
1;sweet red;POTATO;-0.4998;0.1302;0.2500
1;sweet red;POTATO;-1.3749;-0.9474;0.2500
1;sweet red;POTATO;-2.0556;1.9642;0.2500
1;sweet red;POTATO;3.0000;2.0288;0.2500
1;sweet red;POTATO;-2.6333;-2.1652;0.2500
1;sweet red;POTATO;1.4472;-0.6572;0.2500
1;sweet red;POTATO;-1.8648;1.4515;0.2500
1;sweet red;POTATO;-1.0903;1.7603;0.2500
1;sweet red;POTATO;0.6807;2.3091;0.2500
1;sweet red;POTATO;2.0437;-2.5124;0.2500
1;sweet red;POTATO;2.3745;1.5690;0.2500
1;sweet red;POTATO;0.9440;0.8608;0.2500
1;sweet red;POTATO;1.8399;-1.0464;0.2500
1;sweet red;POTATO;1.4864;-1.7134;0.2500
1;sweet red;POTATO;-1.8714;-1.4356;0.2500
1;sweet red;POTATO;-0.0867;1.7313;0.2500
1;sweet red;POTATO;1.9499;-0.0364;0.2500
1;sweet red;POTATO;1.9896;-1.6970;0.2500
1;sweet red;POTATO;-3.0000;-1.1334;0.2500
1;sweet red;POTATO;-2.1485;-2.3447;0.2500
1;sweet red;POTATO;2.7669;3.0000;0.2500
1;sweet red;POTATO;-2.2187;2.5655;0.2500
1;sweet red;POTATO;1.9632;0.8766;0.2500
1;sweet red;POTATO;1.1574;1.8419;0.2500
1;sweet red;POTATO;1.7364;1.6292;0.2500
1;sweet red;POTATO;0.4394;-1.8507;0.2500
