# UserID: 2
# Title: taters
# Final Fitness: 1.000000
# DomainType: ELLIPSE
# DomainParams: semi-width=5.0;semi-height=3.0
# Date: 2026-01-15T11:07:43.570641500
VARIETY_ID;VARIETY_NAME;PLANT_TYPE;X;Y;RADIUS
1;sweet red;POTATO;3.3544;0.6621;0.2500
1;sweet red;POTATO;1.5063;-2.7931;0.2500
1;sweet red;POTATO;1.7398;-1.9619;0.2500
1;sweet red;POTATO;-4.2442;0.4415;0.2500
1;sweet red;POTATO;-3.2296;-1.5272;0.2500
1;sweet red;POTATO;-3.6535;-0.8899;0.2500
1;sweet red;POTATO;-1.4049;-1.6083;0.2500
1;sweet red;POTATO;-3.1025;2.2120;0.2500
1;sweet red;POTATO;-0.9835;-2.8488;0.2500
1;sweet red;POTATO;2.7045;1.5638;0.2500
1;sweet red;POTATO;0.8785;1.1866;0.2500
1;sweet red;POTATO;4.5680;-0.5832;0.2500
1;sweet red;POTATO;1.3918;2.1116;0.2500
1;sweet red;POTATO;1.7947;-0.3626;0.2500
1;sweet red;POTATO;4.1779;-1.2499;0.2500
1;sweet red;POTATO;2.7321;-0.8615;0.2500
1;sweet red;POTATO;-0.7252;0.5841;0.2500
1;sweet red;POTATO;0.8955;-1.7255;0.2500
1;sweet red;POTATO;-0.9554;2.3254;0.2500
1;sweet red;POTATO;-0.1106;0.6044;0.2500
