========================================
            TERRAIN REPORT
========================================

--- Configuration ---
Domain: Circle { radius = 4,00 }
Target Distance: 0.10

--- Results ---
Fitness: 1.000000
Total Points: 199

--- Chromosomes (Points) ---
[0] X: -1.9430 | Y: 3.0520
[1] X: 1.4413 | Y: 0.2069
[2] X: 2.1459 | Y: -2.8750
[3] X: 1.6248 | Y: -2.8347
[4] X: 3.1152 | Y: -2.2248
[5] X: -0.8614 | Y: -3.1849
[6] X: -0.4414 | Y: -3.9137
[7] X: 0.7103 | Y: -1.4005
[8] X: -2.2904 | Y: -0.7211
[9] X: -1.1971 | Y: 2.3181
[10] X: -1.4756 | Y: 1.2442
[11] X: 2.4100 | Y: -2.9753
[12] X: 2.7267 | Y: -0.6294
[13] X: -0.9458 | Y: -0.3792
[14] X: -2.7498 | Y: -0.2470
[15] X: 0.2171 | Y: 1.6388
[16] X: -2.3049 | Y: 0.7199
[17] X: 1.7336 | Y: 2.6209
[18] X: 1.2177 | Y: -3.3001
[19] X: -3.8333 | Y: 1.0722
[20] X: 3.7161 | Y: -0.1048
[21] X: 0.2248 | Y: -2.6224
[22] X: -2.3787 | Y: 0.0644
[23] X: -3.0950 | Y: -0.5313
[24] X: 2.4182 | Y: -2.3015
[25] X: -2.4090 | Y: 2.0103
[26] X: -3.5150 | Y: -0.5542
[27] X: -0.7354 | Y: -1.4406
[28] X: -1.9636 | Y: 1.6350
[29] X: -0.4077 | Y: -2.4994
[30] X: -2.1978 | Y: -2.8055
[31] X: 0.6061 | Y: -1.0450
[32] X: 2.2403 | Y: 0.1760
[33] X: 1.0778 | Y: -2.9194
[34] X: -1.3315 | Y: -3.2831
[35] X: 1.3998 | Y: -3.7163
[36] X: 0.1973 | Y: 0.5182
[37] X: -1.7641 | Y: -2.4131
[38] X: -0.0238 | Y: -0.3935
[39] X: -1.6756 | Y: -0.0961
[40] X: 3.5998 | Y: 0.4180
[41] X: 0.3782 | Y: -2.4389
[42] X: 1.0661 | Y: -0.9423
[43] X: 0.5233 | Y: 0.1860
[44] X: 1.6680 | Y: 3.6345
[45] X: 0.6402 | Y: 2.0323
[46] X: -2.3023 | Y: 3.1616
[47] X: 1.2899 | Y: -2.0858
[48] X: 2.1182 | Y: -1.9552
[49] X: 2.1630 | Y: -0.2467
[50] X: -1.2026 | Y: 1.6529
[51] X: 1.3474 | Y: -2.5203
[52] X: -0.3952 | Y: 0.9092
[53] X: 2.0224 | Y: -2.6235
[54] X: 1.8545 | Y: 2.9102
[55] X: -1.4749 | Y: 1.4462
[56] X: 2.6764 | Y: 0.9489
[57] X: -0.3947 | Y: 3.5586
[58] X: 2.7775 | Y: -0.1443
[59] X: 0.3833 | Y: -0.6143
[60] X: -3.6388 | Y: 1.1978
[61] X: 1.3676 | Y: 3.4075
[62] X: -1.7212 | Y: -2.0379
[63] X: 0.3682 | Y: 2.3222
[64] X: -1.7269 | Y: -2.9920
[65] X: -0.2495 | Y: -0.7661
[66] X: -2.5335 | Y: 2.2552
[67] X: -0.8545 | Y: 2.2411
[68] X: -1.3139 | Y: 2.7787
[69] X: 2.7280 | Y: -0.9197
[70] X: -2.4765 | Y: -1.6312
[71] X: -2.3987 | Y: -2.3221
[72] X: -1.9981 | Y: -0.2562
[73] X: 3.5887 | Y: -0.8962
[74] X: -0.0348 | Y: 2.4517
[75] X: 2.0942 | Y: 1.2981
[76] X: 0.7533 | Y: -0.2368
[77] X: 2.3707 | Y: 1.6045
[78] X: -1.4504 | Y: -3.6522
[79] X: 1.3559 | Y: 1.7416
[80] X: -1.2248 | Y: -1.7359
[81] X: -0.9180 | Y: -2.0517
[82] X: 3.2912 | Y: 1.2129
[83] X: -0.2140 | Y: 2.0130
[84] X: -1.7250 | Y: -3.2631
[85] X: 2.2420 | Y: 3.1207
[86] X: 0.8112 | Y: -1.9531
[87] X: 2.1378 | Y: -0.4904
[88] X: -1.7582 | Y: 0.3702
[89] X: 1.1909 | Y: 0.1258
[90] X: -3.2541 | Y: 1.1529
[91] X: 0.9190 | Y: 0.8724
[92] X: -2.0222 | Y: -0.6199
[93] X: -0.5434 | Y: -2.6467
[94] X: -0.2375 | Y: 0.5332
[95] X: 2.9142 | Y: 0.1166
[96] X: 1.6925 | Y: 2.2307
[97] X: -1.7719 | Y: -0.3695
[98] X: -0.8409 | Y: 3.3434
[99] X: -0.8393 | Y: -0.0797
[100] X: -0.7833 | Y: 2.6780
[101] X: -0.9702 | Y: -2.8737
[102] X: -0.3839 | Y: 3.2956
[103] X: 2.6083 | Y: 2.2951
[104] X: 3.3389 | Y: 2.0402
[105] X: -1.7707 | Y: 0.6289
[106] X: -1.8609 | Y: -2.8083
[107] X: -2.1778 | Y: -1.0509
[108] X: 0.9195 | Y: -2.1880
[109] X: -1.3761 | Y: 1.7871
[110] X: 2.8584 | Y: -0.4143
[111] X: -1.5080 | Y: -1.4027
[112] X: -1.0839 | Y: -3.7638
